event_id,title,subtitle,sortDate,displayDate,location,address,team_members,youtube_videos,description,links,cover_image,gallery_prefix,gallery_count,prog_name,ticket_info,ticket_link,faq
studioGhibli,A Studio Ghibli Tribute,Austin Public Library Collaboration,5/1/22,"Butler School of Music Performances:
- April 1, 2022
- April 15, 2022
Austin Public Library Performances:
- July 16, 2022
- July 23, 2022
- July 29, 2022
- July 30, 2022","Butler School of Music, Austin Public Library","710 W Cesar Chavez St, Austin, TX 78701","Dorothy Le (project lead/flutist), Selina Xu (Cellist), Moegi Amano (Pianist), Peter Le (Pianist), Lindsay Chu (Pianist), Daniel Kim (Pianist/Composer), Jingchao Wang (Composer), Pranav Subramanian (Staging Designer), Maya Hazarika (Staging Designer), Ellen Okamura (Designer), Ansh Jain (Website Manager), Sammy Le (Poet), Kevin Lam (Business Consultant), James Gabrillo (Independent Study and Production Advisor), Marianne Gedigian (Flute Professor and Production Advisor)",https://youtube.com/playlist?list=PLIHYGUgW_85tayZBbHNc5ZaP-OkFXrHr-&si=eunWIuKwACbipU32,"A Studio Ghibli Tribute consists of inaugural multimedia events created by the AMP team to celebrate Asian-American art and expression. Supported by the Butler School of Music Rainwater and Faculty Innovation Grant, this production included music commissions, poetry, and art inspired by Hayao Miyazaki films and Joe Hisaishi film scores. 

In Summer 2022, AMP collaborated with the Austin Public Library (APL) to produce concerts and educational resources for the Miyazaki Fest. The series concluded with sold out events at the APL Central Library and an unforgettable experience for team members and attendees alike.  ","[ {""text"":""Wonderjoy Photobooth Gallery 7.30"",""url"":""https://wonderjoyphotobooth.pic-time.com/gK5XpSeKzlYOb""},
  {""text"":""Program Notes and Poetry"",""url"":""https://drive.google.com/file/d/1g8FLDoR9AHKwF5QidE76yKKqEFovL6CW/view?usp=sharing""}]",Events/AMP_Web_Cover_Studio-Ghibli.jpg,AMP_Web_Studio-Ghibli,7,prog_studio-ghibli,N/A,N/A,N/A
aarc,AMP x AARC,Asian American Resource Center Collaboration,1/28/23,"January 28, 2023 @ 2:00 PM","Asian American Resource Center, Austin, TX","8401 Cameron Rd, Austin, TX 78754","Dorothy Le (Flute/Project Lead), Evan Schnurr (Clarinet), Brigit Fitzgerald (Bassoon), Daniel Kim (Composer/Piano)",https://youtu.be/yS5Szh5Rhkc,AMP collaborates with the Asian American Resource Center for a Lunar New Year performance of music from Animal Crossing.,"[ {""text"":""Lunar New Year Makers' Market Program"",""url"":""https://drive.google.com/file/d/17W1cfYUOvD_LVZ3mZapo_YJ5qj3cnFMz/view?usp=share_link""},
  {""text"":""AMP x AARC Program Answers"",""url"":""https://drive.google.com/file/d/1UEuvzRH0UngwZRk1B7HibxWKrgUHLVXR/view?usp=share_link""}
]",Events/AMP_Web_Cover_AARC.jpg,,0,prog_aarc,N/A,N/A,N/A
gaaacc,AMP x GAAACC,Greater Austin Asian American Chamber of Commerce Collaboration,12/1/22,Winter 2022,"Austin, TX",,"Dorothy Le (Flute/Project Lead), Evan Schnurr (Clarinet), Daniel Kim (Composer/Piano)",https://youtu.be/gmrUtG6lias,AMP performs original music for the Greater Austin Asian Chamber of Commerce 10 Year Celebration event.,[],Events/AMP_Web_Cover_GAAACC.jpg,,0,prog_gaaacc,N/A,N/A,N/A
nintendoCafe,Nintendo Cafe,Austin Public Library Collaboration,5/27/23,"May 27, 2023 @ 2:00 PM",Austin Public Library,"710 W Cesar Chavez St, Austin, TX 78701","Dorothy Le (Flute/Project Lead), Evan Schnurr (Clarinet), Brigit Fitzgerald (Bassoon), Daniel Kim (Composer/Piano)",https://youtu.be/PAMR0Q6EtuQ?si=nfA7fZuOJcw6TW_j,AMP collaborates with the Austin Public Library to perform arrangements of various Nintendo video game music.,[],Events/AMP_Web_Cover_Nintendo-Cafe.jpg,,0,prog_nintendo-café,N/A,N/A,N/A
magic-garden,Magic Garden,Music Performance Inspired by Frieren: Beyond Journey's End & Violet Evergarden,4/18/26,"April 18, 2026 @ 7:00 PM",St. John's United Methodist Church,"2140 Allandale Rd Austin, TX 78756","Dorothy Le (Flute/Director), Sarah Uy (Violinist), Peter Le (Piano), Daniel Kim (Composer)",,"Join AMP for Magic Garden, an evening of chamber music inspired by Evan Call's scores for the series Frieren: Beyond Journey's End & Violet Evergarden. Inspired by the passage of time, adventures, and connections to loved ones, the performance will feature arrangements and original music composed by Daniel Kim for flute, violin, and piano. 

Thank you to our sponsors: 
- Austin Flute Society
- St. John's United Methodist Church",[],Events/AMP_Web_Cover_Magic-Garden.jpg,AMP_Web_Magic-Garden,1,prog_magic-garden,"Purchase your ticket today through <a href=""https://venmo.com/u/asianmemoryproject"" target=""_blank"" style=""color:#4FC3F7;"">Venmo</a> or <a href=""https://www.eventbrite.com/e/1983839238566?aff=oddtdtcreato"" target=""_blank"" style=""color:#4FC3F7;"">Eventbrite</a>. Please consider using Venmo as more of the proceeds will directly support our artists and the Austin Flute Society.

Reserve early as spots are limited for Magic Garden!
General admission will be $15/person for open seating at St. John's.
<strong><span style=""text-decoration:underline;"">
Upon arrival, please show us your Venmo or Eventbrite receipt.</span></strong>
100% of proceeds from tickets will go towards supporting our musicians and donations to the Austin Flute Society.",https://venmo.com/u/asianmemoryproject,"Q: What time will the doors open and when will the event end?
A: Doors will open for ticketing at 6:20pm and the event will end around 8:30pm
Q: How much are general admission tickets?
A: Tickets are $15 each
Q: Are you selling merchandise?
A: Yes, concert posters will be available for sale at the event.
Q: Are there group, student or children discounts?
A: No, our ticket prices are set at an affordable rate to ensure accessibility for our community and support fair wages for our artists. If you need assistance with our ticket prices, please email us.
Q: I didn't get tickets in time, can I pay at the door?
A: Yes, we will accept tap payments with card or cash payment before the event. If paying with cash, please bring exact change if possible.
Q: How do I donate to support AMP?
A: We appreciate any support from our attendees as your gift will fund our next events and support local music organizations. Please Venmo us your donation amount or include it with your ticket purchase.
Q: Where do I park for the event?
A: There are ample free parking spots around St. John's as well as street parking. If parking on the street, please be courteous of our neighbors and do not block their driveway. Arrive early so you have plenty of time to park and get checked in!
Q: Do I get to meet the musicians and members of AMP?
A: Yes! After the concert, please feel free to greet the AMP team members after they have completed putting their instruments away.
Q: Where can I receive the most updated information about Magic Garden?
A: Follow us on Instagram and Facebook to hear music previews and learn more about our team. We'll also post any quick updates prior to the event on our socials."
lightbox,AMP x APL Lightbox Panel Exhibit,Austin Public Library Collaboration,5/1/22,May 2022 - May 2024,Austin Public Library,"710 W Cesar Chavez St, Austin, TX 78701","Pranav Subramanian (Designer), Maya Hazarika (Designer)",,"AMP collaborates with the Austin Public Library to design, create, and exhibit Lightbox Panels.",[],Events/AMP_Web_APL-Lightbox-1.jpg,AMP_Web_APL-Lightbox,3,,N/A,N/A,N/A
magic-garden-preview,Magic Garden (Preview),Free preview of our upcoming concert. Presented at the Austin Flute Society Community Recital.,3/8/26,"March 8, 2026 @ 2:00 PM","St. John's United Methodist Church, Austin, TX","2140 Allandale Rd Austin, TX 78756","Dorothy Le (Flute/Director), Sarah Uy (Violinist), Peter Le (Piano), Daniel Kim (Composer)",https://youtu.be/7TCc4DcvLDA,"In collaboration with the Austin Flute Society, AMP will perform selections from Magic Garden at St. John's UMC. Concert is free and open to the public. More information about the Community Recital can be found below.","[ {""text"":""American Tapestry: Threads of Our Stories,  St. John's UMC"",""url"":""https://www.austinflutesociety.org/events-1/flute-recital-american-tapestry-threads-of-our-stories-st-johns-umc""}]",Events/AMP_Web_Cover_Magic-Garden.jpg,AMP_Web_Magic-Garden-Preview,4,prog_magic-garden-preview,N/A,N/A,N/A
